Provider ID,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Mortality national comparison
10005,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,1,Below the national average
10012,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,Below the national average
10131,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,Same as the national average
11304,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,Not Available
20018,Acute Care Hospitals,Tribal,TRUE,TRUE,3,Same as the national average
21301,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available,Not Available
21304,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available,Not Available
21307,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available,Not Available
21308,Critical Access Hospitals,Government,TRUE,TRUE,Not Available,Not Available
21309,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,Not Available
21310,Critical Access Hospitals,Government,TRUE,TRUE,Not Available,Not Available
30071,Acute Care Hospitals,Government - Federal,TRUE,TRUE,2,Same as the national average
30073,Acute Care Hospitals,Voluntary non-profit - Other,FALSE,TRUE,3,Not Available
30074,Acute Care Hospitals,Tribal,TRUE,TRUE,Not Available,Not Available
30077,Acute Care Hospitals,Government - Federal,FALSE,TRUE,Not Available,Not Available
30084,Acute Care Hospitals,Government - Federal,TRUE,TRUE,2,Not Available
31305,Critical Access Hospitals,Government,FALSE,TRUE,Not Available,Not Available
31309,Critical Access Hospitals,Voluntary non-profit - Private,FALSE,,Not Available,Not Available
40007,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,Below the national average
40018,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,Not Available
40050,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
40154,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,4,Same as the national average
41328,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Same as the national average
50054,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3,Same as the national average
50103,Acute Care Hospitals,Voluntary non-profit - Church,FALSE,TRUE,3,Above the national average
50145,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,5,Same as the national average
50224,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Above the national average
50280,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,Below the national average
50309,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,5,Below the national average
50488,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3,Same as the national average
100054,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,Same as the national average
50567,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Same as the national average
50684,Acute Care Hospitals,Physician,FALSE,TRUE,2,Same as the national average
50717,Acute Care Hospitals,Government - Local,FALSE,TRUE,3,Not Available
51317,Critical Access Hospitals,Voluntary non-profit - Church,TRUE,TRUE,2,Same as the national average
53306,Childrens,Voluntary non-profit - Private,TRUE,TRUE,Not Available,Not Available
60128,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,Not Available,Not Available
61325,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available,Not Available
70006,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
70008,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Same as the national average
70016,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,2,Same as the national average
70029,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
80003,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
100075,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,5,Above the national average
100137,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,Same as the national average
100183,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,Above the national average
100209,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,Above the national average
101301,Critical Access Hospitals,Proprietary,TRUE,TRUE,3,Same as the national average
110030,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Same as the national average
110038,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
110128,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,Same as the national average
111335,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3,Same as the national average
120028,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Same as the national average
140002,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,Below the national average
140015,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
140018,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,Same as the national average
140052,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3,Same as the national average
140118,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,Same as the national average
140172,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,1,Same as the national average
140187,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3,Same as the national average
140210,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,2,Same as the national average
141328,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Same as the national average
141346,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3,Same as the national average
141349,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3,Same as the national average
143301,Childrens,Voluntary non-profit - Private,FALSE,TRUE,Not Available,Not Available
150069,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Same as the national average
160089,Acute Care Hospitals,Proprietary,TRUE,TRUE,4,Same as the national average
161377,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,Same as the national average
170166,Acute Care Hospitals,Government - Local,TRUE,TRUE,3,Same as the national average
171303,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,TRUE,Not Available,Not Available
171304,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,TRUE,Not Available,Not Available
171312,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available,Not Available
171322,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available,Not Available
171324,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available,Not Available
171338,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Not Available
171344,Critical Access Hospitals,Government - Local,TRUE,TRUE,3,Same as the national average
171382,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
180010,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,2,Same as the national average
180080,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Same as the national average
190116,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,2,Same as the national average
190144,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,Same as the national average
190145,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,2,Same as the national average
200033,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Same as the national average
191318,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available,Same as the national average
200018,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Same as the national average
201301,Critical Access Hospitals,Voluntary non-profit - Private,FALSE,TRUE,Not Available,Not Available
220010,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Above the national average
220171,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Above the national average
221300,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
230110,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
230132,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,1,Same as the national average
230197,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,2,Above the national average
230269,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,5,Above the national average
230273,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,Above the national average
230277,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,Same as the national average
231322,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,TRUE,4,Same as the national average
231323,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Same as the national average
240206,Acute Care Hospitals,Government - Federal,FALSE,TRUE,Not Available,Not Available
241300,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available,Not Available
241306,Critical Access Hospitals,Government - Local,TRUE,TRUE,4,Not Available
241326,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,Not Available
250006,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,5,Same as the national average
250057,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,2,Same as the national average
250060,Acute Care Hospitals,Government - Local,TRUE,TRUE,Not Available,Not Available
250078,Acute Care Hospitals,Government - Local,TRUE,TRUE,1,Below the national average
250084,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,Below the national average
250097,Acute Care Hospitals,Government - Local,TRUE,TRUE,2,Same as the national average
250127,Acute Care Hospitals,Government - Federal,TRUE,TRUE,Not Available,Not Available
250134,Acute Care Hospitals,Government - State,FALSE,TRUE,Not Available,Not Available
251309,Critical Access Hospitals,Government - Local,TRUE,TRUE,3,Not Available
251307,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available,Not Available
260020,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,5,Above the national average
260032,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,2,Above the national average
260141,Acute Care Hospitals,Government - State,TRUE,TRUE,1,Below the national average
260142,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
260183,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3,Below the national average
260214,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
261318,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available,Same as the national average
261335,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,Not Available
263301,Childrens,Voluntary non-profit - Other,TRUE,TRUE,Not Available,Not Available
270003,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
270074,Acute Care Hospitals,Government - Federal,TRUE,TRUE,Not Available,Not Available
271304,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available,Not Available
271339,Critical Access Hospitals,Government - Federal,TRUE,TRUE,Not Available,Not Available
280009,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,2,Same as the national average
280013,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
280133,Acute Care Hospitals,Proprietary,FALSE,TRUE,Not Available,Not Available
281300,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available,Not Available
281301,Critical Access Hospitals,Government - Local,TRUE,TRUE,4,Not Available
281302,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available,Not Available
281303,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,Not Available
281309,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available,Not Available
281312,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available,Not Available
281314,Critical Access Hospitals,Government - Local,TRUE,TRUE,4,Not Available
281315,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Same as the national average
281316,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available,Not Available
281319,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Not Available
281326,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Not Available
281327,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available,Not Available
281331,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,Not Available
281334,Critical Access Hospitals,Government - Local,TRUE,TRUE,4,Same as the national average
281335,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available,Not Available
281336,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
281338,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3,Not Available
281340,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available,Not Available
281344,Critical Access Hospitals,Government - Local,TRUE,TRUE,3,Not Available
281346,Critical Access Hospitals,Voluntary non-profit - Church,TRUE,TRUE,Not Available,Not Available
281347,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,Not Available
281349,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,4,Same as the national average
281351,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available,Not Available
281352,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Same as the national average
281354,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Not Available
281360,Critical Access Hospitals,Government - Local,TRUE,TRUE,3,Same as the national average
281361,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,4,Not Available
281363,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3,Same as the national average
281364,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Same as the national average
290045,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,Below the national average
290057,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,Not Available
291306,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
291314,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available,Not Available
310009,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Above the national average
310010,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
310011,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
310034,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Same as the national average
310038,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Same as the national average
310044,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
310054,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Same as the national average
310073,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Same as the national average
310110,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
320058,Acute Care Hospitals,Government - Federal,FALSE,TRUE,Not Available,Not Available
320059,Acute Care Hospitals,Government - Federal,TRUE,TRUE,3,Not Available
320060,Acute Care Hospitals,Government - Federal,TRUE,TRUE,Not Available,Not Available
320062,Acute Care Hospitals,Government - Federal,TRUE,TRUE,Not Available,Not Available
320070,Acute Care Hospitals,Government - Federal,TRUE,TRUE,Not Available,Not Available
